Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,Player_Clean,Team_Clean,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Multi_Year_Contract,Total_Contract_Value
242,Miles McBride,NYK,4333333,3956523,,,,,"$8,289,856",Miles McBride,NYK,4333333,Rookie/Min,4.333333,True,True,8289856.0
243,Keyonte George,UTA,4278960,6563925,,,,,"$4,278,960",Keyonte George,UTA,4278960,Rookie/Min,4.27896,True,True,10842885.0
244,Jared McCain,PHI,4221360,4422600,,,,,"$4,221,360",Jared McCain,PHI,4221360,Rookie/Min,4.22136,True,True,8643960.0
245,Joan Beringer,MIN,4201080,4411200,,,,,"$8,612,280",Joan Beringer,MIN,4201080,Rookie/Min,4.20108,True,True,8612280.0
247,Dalton Knecht,LAL,4010160,4201080,,,,,"$4,010,160",Dalton Knecht,LAL,4010160,Rookie/Min,4.01016,True,True,8211240.0
249,Walter Clayton,UTA,3991320,4190520,,,,,"$8,181,840",Walter Clayton,UTA,3991320,Rookie/Min,3.99132,True,True,8181840.0
250,Jaime Jaquez Jr.,MIA,3861600,5939141,,,,,"$3,861,600",Jaime Jaquez Jr.,MIA,3861600,Rookie/Min,3.8616,True,True,9800741.0
251,Nolan Traoré,BRK,3811560,4002000,,,,,"$7,813,560",Nolan Traoré,BKN,3811560,Rookie/Min,3.81156,True,True,7813560.0
252,Tristan Da Silva,ORL,3809520,3991200,,,,,"$3,809,520",Tristan Da Silva,ORL,3809520,Rookie/Min,3.80952,True,True,7800720.0
253,Brandin Podziemski,GSW,3687960,5679459,,,,,"$3,687,960",Brandin Podziemski,GSW,3687960,Rookie/Min,3.68796,True,True,9367419.0
254,Svi Mykhailiuk,UTA,3675000,3850000,,,,,,Svi Mykhailiuk,UTA,3675000,Rookie/Min,3.675,True,True,7525000.0
255,Kasparas Jakucionis,MIA,3658800,3841680,,,,,"$7,500,480",Kasparas Jakucionis,MIA,3658800,Rookie/Min,3.6588,True,True,7500480.0
256,Ja'Kobe Walter,TOR,3638160,3811800,,,,,"$3,638,160",Ja'Kobe Walter,TOR,3638160,Rookie/Min,3.63816,True,True,7449960.0
257,Cam Whitmore,WAS,3539760,5458310,,,,,"$3,539,760",Cam Whitmore,WAS,3539760,Rookie/Min,3.53976,True,True,8998070.0
258,Will Riley,WAS,3512520,3688320,,,,,"$7,200,840",Will Riley,WAS,3512520,Rookie/Min,3.51252,True,True,7200840.0
259,Jaylon Tyson,CLE,3492480,3658560,,,,,"$3,492,480",Jaylon Tyson,CLE,3492480,Rookie/Min,3.49248,True,True,7151040.0
262,Noah Clowney,BRK,3398640,5414034,,,,,"$3,398,640",Noah Clowney,BKN,3398640,Rookie/Min,3.39864,True,True,8812674.0
